/Users/twixes/Developer/thispriestdoesnotexist/research/selection/.venv/lib/python3.11/site-packages/torch/jit/_serialization.py:176: FutureWarning: `torch.jit.load` is deprecated. Please switch to `torch.export`.
  warnings.warn(
{"step": 1, "loss": 0.45490938425064087, "edit_norm": 0.0, "bootstrap": true, "gradient_norm_before_update": 0.7160326838493347, "image_gradient_norm": 0.07260684669017792, "finite_before_sanitization": true, "gradient_sanitization_or_clipping": false, "updated_state_sha256": "db1ba2adf955d586bc9e6712ed9bb4bef1d349890f58a33031894da8364307ea", "seconds": 2.0669007090618834, "peak_rss_bytes": 6679609344}
{"step": 2, "loss": 0.9081915020942688, "edit_norm": 0.10322092473506927, "bootstrap": false, "gradient_norm_before_update": 5.095003604888916, "image_gradient_norm": 0.49412208795547485, "finite_before_sanitization": true, "gradient_sanitization_or_clipping": false, "updated_state_sha256": "526144655fb6a3f86f6b0982dcc9468786fb4467af3b57267efbdc000ef84a34", "seconds": 2.0986568339867517, "peak_rss_bytes": 7094583296}
{"step": 3, "loss": 0.856895923614502, "edit_norm": 0.14322009682655334, "bootstrap": false, "gradient_norm_before_update": 3.7424228191375732, "image_gradient_norm": 0.35959985852241516, "finite_before_sanitization": true, "gradient_sanitization_or_clipping": false, "updated_state_sha256": "a4a93247402742a1f3140a07bc87266aa2e1a98cae0504b0b8531acf1bf87c20", "seconds": 2.143152083037421, "peak_rss_bytes": 7094583296}
{"step": 4, "loss": 0.9219338297843933, "edit_norm": 0.25509971380233765, "bootstrap": false, "gradient_norm_before_update": 2.4162304401397705, "image_gradient_norm": 0.2917545437812805, "finite_before_sanitization": true, "gradient_sanitization_or_clipping": false, "updated_state_sha256": "17f17e1dfe92a6ae03b4f7b0557e6578a878aec94342681b69b4ee3e402a107a", "seconds": 2.1360480840085074, "peak_rss_bytes": 7094583296}
{"step": 5, "loss": 0.8652190566062927, "edit_norm": 0.158263698220253, "bootstrap": false, "gradient_norm_before_update": 4.759121894836426, "image_gradient_norm": 0.4945693016052246, "finite_before_sanitization": true, "gradient_sanitization_or_clipping": false, "updated_state_sha256": "fea0d553f2852fed474f4307ab4ec00c0cf30c86dfeff5510684971b51a812e4", "seconds": 2.155483292066492, "peak_rss_bytes": 7094583296}
{"step": 6, "loss": 0.7319146990776062, "edit_norm": 0.17930462956428528, "bootstrap": false, "gradient_norm_before_update": 2.4499001502990723, "image_gradient_norm": 0.19508197903633118, "finite_before_sanitization": true, "gradient_sanitization_or_clipping": false, "updated_state_sha256": "fc85915b465e04d48a9d688369ed99db10aec9308688648aca0fb8dd23cb4940", "seconds": 2.099087124923244, "peak_rss_bytes": 7094583296}
{"step": 7, "loss": 0.8116202354431152, "edit_norm": 0.23086141049861908, "bootstrap": false, "gradient_norm_before_update": 1.9297817945480347, "image_gradient_norm": 0.2570863366127014, "finite_before_sanitization": true, "gradient_sanitization_or_clipping": false, "updated_state_sha256": "a689e3397ceb87f4ca8ca184e78b365e6b2116f9d0e7e00cc06e98c12e27978d", "seconds": 2.156645125010982, "peak_rss_bytes": 7094583296}
{"step": 8, "loss": 0.700420081615448, "edit_norm": 0.30662885308265686, "bootstrap": false, "gradient_norm_before_update": 1.3097199201583862, "image_gradient_norm": 0.1140659973025322, "finite_before_sanitization": true, "gradient_sanitization_or_clipping": false, "updated_state_sha256": "eee254e9c84b957457728209f376d8382979ad1b5aeb59ebad2657fbc33f6e1f", "seconds": 2.1557002919726074, "peak_rss_bytes": 7094583296}
{"step": 9, "loss": 0.7842887043952942, "edit_norm": 0.2006496638059616, "bootstrap": false, "gradient_norm_before_update": 2.4238662719726562, "image_gradient_norm": 0.3758683204650879, "finite_before_sanitization": true, "gradient_sanitization_or_clipping": false, "updated_state_sha256": "313fd189759abe9701f7747460f2651c8db773e7f4b57875f5c9c9980aa1aef1", "seconds": 2.170356374932453, "peak_rss_bytes": 7094583296}
{"step": 10, "loss": 0.8270664215087891, "edit_norm": 0.26650047302246094, "bootstrap": false, "gradient_norm_before_update": 1.4143317937850952, "image_gradient_norm": 0.18281739950180054, "finite_before_sanitization": true, "gradient_sanitization_or_clipping": false, "updated_state_sha256": "2d813ca852cd026639f5be1a0bc83b7024cb35d678289ba1a025b9267af7502d", "seconds": 2.145933000021614, "peak_rss_bytes": 7094583296}
